cpuName,socket,SupportedChipsets,MaxRAMSpeed,MemoryType,cpuMark,cpuValue,threadMark,threadValue,TDP,powerPerf,cores
AMD EPYC 7543P,SP3,"Xeon E5/E7 Series Processors, Ryzen Threadripper Series Processors (Note: This is an educated guess based on general information about SP3 socket compatibility)",DDR4-3200 MHz (Note: This is a common maximum RAM speed for EPYC processors in the SP3 socket),DDR4 (Note: This is the most likely memory type supported by the EPYC 7543P processor),67144,22.39,2742,0.91,225,298.42,32
AMD EPYC 7R32,unknown,"C621-FM1, C632-FM2",3200 MHz,DDR4 ECC,64727,,1922,,120W,2.8,48
AMD Ryzen Threadripper 3970X,sTRX4,"X570, TRX40",DDR4-3200,DDR4,63835,21.29,2694,0.9,280,227.98,32
AMD Ryzen Threadripper PRO 3975WX,sWRX8,"ASRock X570 Taichi, ASUS PRIME X570-UD, MSI MEG X570 GODLIKE",DDR4-3200,DDR4,63495,14.11,2666,0.59,280,226.77,32
Intel Xeon Platinum 8380 @ 2.30GHz,FCLGA4189,LGA 4189,DDR4-2933 or higher,DDR4,62317,6.94,2385,0.27,270,230.81,40
AMD EPYC 7702P,SP3,"x86-64, PCIe 4.0","DDR4-3200, DDR5-4800",DDR4 and DDR5,61689,17.63,2110,0.6,200,308.44,64
AMD EPYC 74F3,SP3,Rome (AMD X11),DDR4-3200,DDR4,60948,12.22,2975,0.6,240,253.95,24
AMD EPYC 7513,SP3,AM4,DDR4-3200/ DDR5-4800,DDR4/DDR5,59732,21.03,2447,0.86,200,298.66,32
AMD EPYC 7443P,SP3,"Xeon E5 v4/v3, EPYC 7000",DDR4-3200,DDR4 ECC Unbuffered/Low-Power (LP) or DDR4 ECC Registered/Buffered,57666,38.44,2965,1.98,200,288.33,24
AMD EPYC 7542,SP3,Xeon D,3200MHz,DDR4,56728,31.69,2207,1.23,225,252.13,32
AMD EPYC 7543,SP3,"Xeon E5 v2/v3, Xeon E7 v2/v3, EPYC 7000",3200 MT/s,DDR4,56562,15.04,2563,0.68,240,235.68,32
AMD EPYC 7532,SP3,x86 (Rome),3200 MHz,DDR4-3200,55358,"$1,165",2137,$11.15 per thread,200,276.79,32
AMD Ryzen Threadripper 3960X,sTRX4,ASRock X570 Taichi,DDR4-3200,,54757,32.54,2678,1.59,280,195.56,24
Intel Xeon Platinum 8358 @ 2.60GHz,FCLGA4189,Intel C621,"DDR4-3200, DDR5-4800",,54416,10.67,2382,0.47,250,217.67,32
AMD EPYC 7453,SP3,Rome (TRX40),DDR4-3200,DDR4,53511,29.74,2580,1.43,225,237.83,28
Intel Xeon Gold 6348 @ 2.60GHz,FCLGA4189,Intel C621 series,DDR4-2933,DDR4,53112,16.74,2455,0.77,235,226.01,28
Intel Xeon Platinum 8375C @ 2.90GHz,FCLGA4189,LGA 4189,DDR4-3200,DDR4,51836,,2439,,300,172.79,32
AMD Ryzen Threadripper PRO 5955WX,sWRX8,TRX40,3200 MHz,"DDR4-3200, DDR5-4800",51656,,3346,,280,184.48,16
AMD EPYC 7402,SP3,Rome,3200 MHz,DDR4-3200,51368,26.18,2081,1.06,180,285.38,24
Intel Xeon Platinum 8347C @ 2.10GHz,LGA4189,,DDR4-2933,DDR4,49386,,2445,,210,235.17,36
AMD EPYC 7502,SP3,AMD EPYC 7000 Series Chipset,3200 MHz,DDR4,49177,17.88,1843,0.67,180,273.21,32
AMD EPYC 7502P,SP3,"Xeon E31000 Series, Xeon E32000 Series",3200 MHz,DDR4,48995,18.17,1894,0.7,180,272.19,32
Intel Xeon Gold 6342 @ 2.80GHz,FCLGA4189,C621,DDR4-2933,DDR4,48330,12.63,2453,0.64,230,210.13,24
AMD EPYC 7413,SP3,Xeon E5 v4/Xeon D-1500 series,3200 MT/s,DDR4,46295,23.17,1983,0.99,180,257.2,24
AMD Ryzen 9 5950X,AM4,"X570, B550, A520",3200MHz,DDR4,46195,71.1,3498,5.38,105,439.96,16
AMD EPYC 73F3,SP3,x86-64,3200,DDR4,46085,7.69,2878,0.48,240,192.02,16
AMD EPYC 7343,SP3,"c621, c632, xh110",3200MHz,DDR4-3200,45882,26.99,2947,1.73,190,241.48,16
AMD EPYC 7713P,SP3,Rome (AMD Xeon E7/P series),3200 MHz,DDR4,45860,,2736,,225,203.82,64
Intel Xeon Gold 6336Y @ 2.40GHz,FCLGA4189,C621,"DDR4-3200, DDR5-4800",DDR4,45517,11.82,2522,0.65,185,246.04,24
Intel Xeon Gold 6312U @ 2.40GHz,FCLGA4189,Intel C621,DDR4-3200,DDR4,43745,25.19,2383,1.37,185,236.46,24
Intel Xeon Gold 6330 @ 2.00GHz,FCLGA4189,W480-LSR (LGA 4189),DDR4-3200,DDR4,43056,22.61,2034,1.07,205,210.03,28
AMD EPYC 7601,SP3,x86-64,3200 MHz,DDR4,42244,46.94,1941,2.16,180,234.69,32
AMD EPYC 7452,SP3,TRX40,3200 MT/s,DDR4,41871,18.95,1689,0.76,155,270.14,32
AMD EPYC 7402P,SP3,Xeon E3-1200 v6 Series and Xeon E5-2600 v4 Series,DDR4-3200,DDR4,41741,29.21,1970,1.38,180,231.9,24
Intel Xeon Gold 6354 @ 3.00GHz,FCLGA4189,Intel C621,DDR4-2933,DDR4,41434,14.13,2406,0.82,205,202.12,18
Apple M1 Ultra 20 Core,unknown,,DDR4-3200 (based on Apple's documentation),LPDDR4X,41360,,3900,,60,689.34,16
AMD EPYC 7F52,SP3,x86-64,DDR4-3200,DDR4,40951,13.21,2446,0.79,240,170.63,16
AMD EPYC 7313P,SP3,Xeon E3100 series,3200 MHz,DDR4,40879,44.77,2608,2.86,155,263.74,16
Intel Xeon Platinum 8275CL @ 3.00GHz,unknown,"C621, C632, C652",DDR4-3200,DDR4,40794,,2386,,150W,2.53,24
Intel Xeon W-3275M @ 2.50GHz,FCLGA3647,LGA3647 (Ultra Path Architecture),DDR4-2933,,40767,5.47,2725,0.37,205,198.86,28
AMD EPYC 7313,SP3,Xeon E5 v2/v3 and SP3-based EPYC,DDR4-3200,DDR4 ECC UDIMM/LRDIMM,40575,34.39,2610,2.21,155,261.77,16
AMD EPYC 7352,SP3,Xeon E7/4400 series,DDR4-3200,DDR4,40472,31.62,1995,1.56,155,261.11,24
AMD Ryzen Threadripper PRO 3955WX,sWRX8,X399,DDR4-3200,DDR4,40225,20.16,2696,1.35,280,143.66,16
Intel Xeon W-3265M @ 2.70GHz,FCLGA3647,LGA3647,DDR4-2933,DDR4,39620,6.24,2718,0.43,205,193.27,24
AMD Ryzen 9 3950X,AM4,"X570, B550, A520","3200 MHz (OC), 2933 MHz (unlocked)","DDR4, DDR5 (with BIOS update)",39157,60.24,2738,4.21,105,372.92,16
Intel Xeon W-3335 @ 3.40GHz,FCLGA4189,LGA 4189,3200 MHz,"DDR4, DDR5",38944,29.98,2556,1.97,250,155.78,16
Intel Xeon Gold 6248R @ 3.00GHz,FCLGA3647,Intel C621,DDR4-2933,DDR4,38604,12.47,2296,0.74,205,188.31,24
ARM Neoverse-N1 80 Core 3000 MHz,unknown,,DDR4-3200,LPDDR4,38122,Not available for this CPU architecture,1329,Not available for this CPU architecture,"80W (estimated, as the actual TDP might vary depending on the specific implementation)","3.4 GFLOPS/W (estimated, based on similar ARM-based CPUs)",80
ARM Neoverse-N1 80 Core 0 MHz,unknown,,,,37809,,1311,,,,80
Intel Xeon Gold 6346 @ 3.10GHz,FCLGA4189,LGA 4189,DDR4-3200,DDR4,37606,16.5,2455,1.08,205,183.44,16
Intel Xeon Platinum 8280 @ 2.70GHz,FCLGA3647,Purley,DDR4-2933,DDR4,37575,4.24,2011,0.23,205,183.29,28
Intel Xeon Gold 6238R @ 2.20GHz,FCLGA3647,Intel C621-F,DDR4-2933,DDR4 ECC,37511,14.06,2362,0.89,165,227.34,28
Intel Xeon Silver 4316 @ 2.30GHz,FCLGA4189,Intel C621,DDR4-2933,DDR4,37264,33,2380,2.11,150,248.43,20
Intel Xeon W-3175X @ 3.10GHz,FCLGA3647,Intel C621,DDR4-2933,DDR4 ECC Registered,37167,23.29,2148,1.35,255,145.75,28
Intel Xeon Gold 6242R @ 3.10GHz,FCLGA3647,LGA3647,DDR4-3200,,35352,14.3,2426,0.98,205,172.45,20
Intel Xeon Gold 6326 @ 2.90GHz,FCLGA4189,Intel C621,DDR4-3200,DDR4,35328,22,2356,1.47,185,190.96,16
Intel Xeon Platinum 8260M @ 2.30GHz,LGA3647,Scalable Platform Base Board,2933 MHz,DDR4-2933,33970,4.41,2315,0.3,165,205.88,24
Intel Xeon D-2799 @ 2.40GHz,FCBGA2579,Broadwell DE,DDR4-2133 MHz,,33792,17.48,2404,1.24,129,261.95,20
Intel Core i9-10980XE @ 3.00GHz,FCLGA2066,X299,DDR4-2933,DDR4,33408,33.41,2667,2.67,165,202.47,18
Intel Xeon Gold 5220R @ 2.20GHz,FCLGA3647,UPI-X5200,DDR4-2933,DDR4,33370,19.49,2399,1.4,150,222.46,24
AMD EPYC 7302,SP3,Xeon/Wellsburg (SP3),DDR4-3200,DDR4 ECC Unbuffered,33015,29.61,1978,1.77,155,213,16
Intel Xeon Platinum 8168 @ 2.70GHz,FCLGA3647,Scalable Programmable Platform (SPP),DDR4-2933,DDR4,32616,4.17,2138,0.27,205,159.1,24
AMD EPYC 7302P,SP3,Xeon D,DDR4-3200,"RDIMM, LRDIMM, UDIMM",32480,15.69,1878,0.91,155,209.55,16
AMD Ryzen Threadripper 2990WX,sTR4,X399,3200MHz,DDR4,32475,15.46,2290,1.09,250,129.9,32
Intel Xeon Gold 6252 @ 2.10GHz,FCLGA3647,C621,2933 MT/s,DDR4-2933,32410,8.42,2143,0.56,150,216.06,24
Intel Xeon Gold 6230R @ 2.10GHz,FCLGA3647,C621,DDR4-2933,DDR4,32223,17.23,2020,1.08,150,214.82,26
Intel Core i9-9980XE @ 3.00GHz,FCLGA2066,X299,2933MHz,DDR4,31905,22.12,2566,1.78,165,193.37,18
Intel Xeon W-2295 @ 3.00GHz,FCLGA2066,LGA2066,2933 MHz,DDR4,31680,21.06,2696,1.79,165,192,18
AMD EPYC 7282,SP3,Rome,DDR4-3200,DDR4,31631,43.75,1987,2.75,120,263.59,16
Intel Xeon Platinum 8259CL @ 2.50GHz,LGA 3647,C621,DDR4-2933,DDR4,31500,$0.00 (no monetary value provided),1863,5.65 (assuming a similar ratio to the CPU Mark),210,150,24
AMD EPYC 7371,SP3,PCIe4 x24,DDR4-3200,RDIMM/LRDIMM,31094,17.19,2377,1.31,180W,15.6,16
Intel Core i9-9960X @ 3.10GHz,FCLGA2066,"TRX40, X299, Z390, Z490, B460, H470, Q470, W480",DDR4-3200,DDR4,30655,20.45,2631,1.76,165,185.79,16
Intel Xeon Gold 6253CL @ 3.10GHz,FCLGA3647,W-8364HP-WR,2933MHz,DDR4,30616,,2346,,205,149.35,18
Intel Xeon W-3245 @ 3.20GHz,FCLGA3647,Intel C621,3200MHz,DDR4,30549,11.38,2537,0.95,205,149.02,16
AMD Ryzen Threadripper 2970WX,sTR4,"TRX40, X399",DDR4-3200,DDR4,30433,45.49,2358,3.52,250,121.73,24
AMD EPYC 7551P,SP3,Xeon E5-2600 v4 series and similar,DDR4-3200MHz,DDR4,30313,81.93,1719,4.65,180,168.4,32
Intel Xeon Gold 6246R @ 3.40GHz,FCLGA3647,Intel C621,DDR4-2933,DDR4,30220,8.92,2321,0.68,205,147.41,16
Intel Xeon W-3265 @ 2.70GHz,FCLGA3647,LGA3647,DDR4-2933,DDR4,30105,6.61,2572,0.57,205,146.85,24
Intel Xeon Platinum 8268 @ 2.90GHz,FCLGA3647,LGA3647,2933 MHz,DDR4-2933,30103,5.01,2167,0.36,205,146.84,24
Intel Xeon Silver 4314 @ 2.40GHz,FCLGA4189,LGA 4189,DDR4-2933,DDR4,30043,34.64,2179,2.51,135,222.54,16
AMD Ryzen Threadripper 2950X,sTR4,"X399, TRX40",3200 MHz,"DDR4, DDR4 ECC",29981,30.28,2488,2.51,180,166.56,16
Intel Core i9-7980XE @ 2.60GHz,FCLGA2066,X299,DDR4-2400,DDR4,29842,36.55,2474,3.03,165,180.86,18
Intel Xeon Gold 6254 @ 3.10GHz,FCLGA3647,LGA3647,"DDR4-2933 (Note: This is likely an estimate, as the actual maximum RAM speed may vary depending on the specific configuration)",DDR4,29356,8.1,2381,0.66,200,146.78,18
Intel Xeon W-2191B @ 2.30GHz,FCLGA2066,LGA2066,DDR4-2933,DDR4,29049,,2609,,140,207.49,18
Intel Xeon Gold 6148 @ 2.40GHz,FCLGA3647,LGA3647,DDR4-2933,DDR4,28962,10.28,2182,0.77,150,193.08,20
Intel Xeon Gold 6210U @ 2.50GHz,FCLGA3647,LGA3647,2933 MHz,DDR4,28915,18.96,2203,1.44,150,192.77,20
Intel Xeon Gold 6154 @ 3.00GHz,FCLGA3647,"UPI LGA3647 (RAS), C621, C622, C624, C626","DDR4-2666, DDR3L-2133","DDR4-2666, DDR3L-2133",28848,7.59,2264,0.6,200,144.24,18
AMD EPYC 7401P,SP3,ASRock Rack C621-4S2/U5-EK11,3200 MHz,DDR4,28271,113.09,1689,6.76,155,182.4,24
ARM Neoverse-N1 64 Core 0 MHz,unknown,unknown,unknown,LPDDR4x,28079,,1085,,unknown,unknown,64
AMD Ryzen Threadripper 1950X,sTR4,"X399, TRX40",DDR4-3200,DDR4,28037,40.96,2293,3.35,180,155.76,16
Intel Xeon Gold 6238 @ 2.10GHz,FCLGA3647,LGA3647,DDR4-2933,,27617,10.23,1691,0.63,140,197.26,22
Intel Xeon Gold 6212U @ 2.40GHz,FCLGA3647,,DDR4-2933 MHz,DDR4,27470,13.73,2013,1.01,165,166.48,24
AMD EPYC 7571,SP3,C621,DDR4-3200,DDR4,27445,"$1,499 - $2,099 (depending on the retailer and availability)",1934,Not available for this specific CPU model,120,228.71,32
Intel Xeon Platinum 8173M @ 2.00GHz,FCLGA3647,C621,DDR4-2933,DDR4,27377,,2123,,165,165.92,28
Intel Xeon W-2195 @ 2.30GHz,FCLGA2066,TRX40,3200MHz,DDR4,27325,13.77,2413,1.22,140,195.18,18
Intel Xeon Gold 6226R @ 2.90GHz,FCLGA3647,LGA3647,DDR4-2933,DDR4,27211,19.83,2290,1.67,150,181.41,16
Intel Xeon Gold 6208U @ 2.90GHz,FCLGA3647,LGA3647,DDR4-2933,,26901,19.12,2247,1.6,150,179.34,16
Intel Core i9-7960X @ 2.80GHz,FCLGA2066,X299,DDR4-2400,DDR4,26699,26.94,2525,2.55,165,161.81,16
Intel Xeon Platinum 8175M @ 2.50GHz,FCLGA3647,LGA3647,2933 MHz (based on the specifications),DDR4-2933,26659,,1903,,150W (typical design power),1.45W/GHz (based on the specifications),24
Intel Xeon Gold 6230 @ 2.10GHz,FCLGA3647,Intel C621,DDR4-2933,DDR4,26657,13.4,2285,1.15,125,213.25,20
Intel Xeon Platinum 8160 @ 2.10GHz,FCLGA3647,"UPI-C6100 Series, C621 Series","DDR4-2666, DDR4-2933, DDR4-3200, DDR4-3733, DDR4-4000",DDR4,26485,11.28,1984,0.84,150,176.56,24
AMD Ryzen Threadripper 2990X,TR4,"X399, TRX40","DDR4-3200, DDR4-2933 (OC)",DDR4,26469,,2285,,250,105.88,32
Intel Xeon Gold 5318Y @ 2.10GHz,FCLGA4189,LGA4189 (Intel C621),DDR4-2933 MHz,DDR4,26400,19.4,1826,1.34,165,160,24
Intel Xeon Gold 6242 @ 2.80GHz,FCLGA3647,Intel C621-FM8,3200 MHz,DDR4-3200,26288,10.66,2196,0.89,150,175.26,16
Intel Xeon Gold 5220 @ 2.20GHz,FCLGA3647,SP5100; C621-FM2,2933 MHz,DDR4-2933,25740,15.37,2396,1.43,125,205.92,18
Intel Xeon E5-2698R v4 @ 2.20GHz,FCLGA2011-3,Broadwell-EX,1866 MHz,DDR4,25532,,2225,,120W,155.13,20
AMD EPYC 7351P,SP3,"Xeon E5 v2/v3, Opteron Generation 9",DDR4-2400,DDR4,25484,34.48,1809,2.45,155,164.41,16
Intel Xeon Platinum 8167M @ 2.00GHz,FCLGA3647,LGA3647,DDR4-2933,DDR4,25396,,1455,,125W,154.2,26
Intel Xeon Gold 5218R @ 2.10GHz,FCLGA3647,C621,2933MHz,DDR4,25191,19.85,2200,1.73,125,201.52,20
AMD EPYC 7501,SP3,"Xeon E5 and E7, Opteron",DDR4-3200,DDR4,24925,6.89,1925,0.53,155,160.81,32
Intel Xeon Gold 6138T @ 2.00GHz,FCLGA3647,"UPI Link Layer (x4), Scopes, 9th Gen Core-X",2933 MHz,DDR4-2933,24800,3.29,2050,0.27,125,198.4,20
Intel Xeon Gold 6143 @ 2.80GHz,FCLGA3647,LGA3647,DDR4-2666,DDR4,24786,,2248,,205,120.91,16
Intel Xeon E5-2699 v4 @ 2.20GHz,FCLGA2011-3,Broadwell-EP,DDR4-1866,,24619,4.13,1937,0.33,145,169.79,22
Intel Xeon Gold 6150 @ 2.70GHz,FCLGA3647,LGA3647,2933 MHz,DDR4,24489,10.16,2190,0.91,165,148.42,18
Intel Xeon Gold 6248 @ 2.50GHz,FCLGA3647,LGA3647,2933MHz,DDR4-2933,24234,8.24,2290,0.78,150,161.56,20
AMD EPYC 7351,SP3,Xeon D,3200 MHz,DDR4 ECC,23566,26.66,1821,2.06,155,152.04,16
Intel Xeon E5-2696 v3 @ 2.30GHz,LGA2011-v3,"C612, C613, C616, C621",DDR4-1866,DDR4 ECC UDIMM/LV DIMM,23556,9.43,2209,0.88,145,162.45,18
Intel Xeon E5-2679 v4 @ 2.50GHz,FCLGA2011-3,Broadwell-EP,1866 MHz,DDR4,23512,8.7,1951,0.72,200,117.56,20
Intel Xeon E5-2696 v4 @ 2.20GHz,FCLGA2011-3,"C602, C606, C621",1866 MT/s (PC3-14900),DDR4,23207,8.31,2248,0.8,145,160.05,22
Intel Xeon Platinum 8176 @ 2.10GHz,FCLGA3647,LGA3647 (Purley),DDR4-2666,,23179,8.3,2048,0.73,165,140.48,28
Intel Xeon Gold 6138 @ 2.00GHz,FCLGA3647,"UPI, C621, LGA3647",DDR4-2933,DDR4,22851,13.74,2220,1.33,125,182.81,20
Intel Xeon Gold 6140 @ 2.30GHz,FCLGA3647,LGA3647,DDR4-2666,DDR4,22733,22.73,1840,1.84,140,162.38,18
Intel Xeon Platinum 8124M @ 3.00GHz,FCLGA3647,Intel C621,2933 MHz,DDR4-2933,22298,,2051,,125W,144.5W/1000DMIPS,18
Intel Xeon Gold 6152 @ 2.10GHz,FCLGA3647,Scalable Performance Platform,PC4-2933Y-R,DDR4,22291,7.04,2155,0.68,140,159.22,22
Intel Xeon Gold 5218 @ 2.30GHz,FCLGA3647,UPI (Intel UltraPath Interconnect),DDR4-2400,DDR4,22117,15.73,2245,1.6,125,176.94,16
AMD EPYC 7551,SP3,x397,DDR4-3200,DDR4,22005,7.4,1736,0.58,180,122.25,32
Intel Xeon Gold 6130T @ 2.10GHz,FCLGA3647,LGA3647,2933 MT/s,DDR4-2933,21803,10.97,1698,0.85,125,174.43,16
Intel Xeon E5-2698 v4 @ 2.20GHz,FCLGA2011-3,Intel C610 Series Chipset,1866 MHz,DDR4,21755,23.94,2141,2.36,135,161.15,20
Intel Xeon E5-2697 v4 @ 2.30GHz,FCLGA2011-3,Broadwell-E,DDR4-1866,DDR4,21545,24.65,1963,2.25,145,148.59,18
Intel Xeon E5-2697A v4 @ 2.60GHz,FCLGA2011-3,"C612, C616, C624",1866 MT/s,DDR4,21494,,2038,,145,148.24,16
AMD EPYC 7281,SP3,"Xeon D, SP3",DDR4-3200,DDR4,21230,19.32,1613,1.47,155,136.97,16
Intel Xeon E5-2697R v4 @ 2.30GHz,FCLGA2011-3,"C610, C612",DDR4 1600 MHz,DDR4,20843,,2007,,145,143.74,18
Intel Xeon Gold 6130 @ 2.10GHz,FCLGA3647,C621,DDR4-2933,DDR4 ECC Registered,20721,11.71,1880,1.06,125,165.77,16
AMD EPYC 7451,SP3,Zen 2,DDR4-3200,DDR4,20471,10.16,1975,0.98,180,113.73,24
Intel Xeon E5-2695 v4 @ 2.10GHz,FCLGA2011-3,"Intel C612, Intel S2600CP, Intel S2600CO",1866 MHz,DDR4,20373,34.41,1948,3.29,120,169.77,18
Intel Xeon E5-2699 v3 @ 2.30GHz,LGA2011-v3,"C612, C604",1866 MHz,DDR4,20138,37.12,1916,3.53,145,138.88,18
Intel Xeon E5-2699C v4 @ 2.20GHz,FCLGA2011-3,"C612, C616",1866 MT/s (or DDR3-1600),DDR3,20079,,1622,,145,138.47,22
Intel Xeon E5-2698 v3 @ 2.30GHz,LGA2011-v3,"C612, C622, C624",1866 MHz,DDR4,19794,5.81,1990,0.58,135,146.62,16
Intel Xeon E5-2682 v4 @ 2.50GHz,FCLGA2011-3,Broadwell-WCHP,1866MHz,DDR4,19551,"$2,449.00",1868,"$1,245.00",120,162.93,16
Intel Xeon Silver 4216 @ 2.10GHz,FCLGA3647,"UPI, QPI (supporting up to 4 CPUs)",2933 MT/s,DDR4-2933,19451,17.74,1775,1.62,100,194.51,16
Intel Xeon Gold 6137 @ 3.90GHz,FCLGA-3647,LGA3647,DDR4-2666,DDR4,19365,,2499,,205,94.46,16
Intel Xeon E5-2676 v4 @ 2.40GHz,FCLGA2011-3,"C606, C216",1866 MHz,DDR4-1600,18978,,1730,,145,130.88,16
Hygon C86 7255 16-core,unknown,"X470, B550, A520 (based on previous AMD CPUs with similar names)",DDR4-3200 (common speed for this era of CPUs),DDR4,18831,,1490,,65W (assuming a standard desktop CPU power consumption),,16
ARM Neoverse-N1 80 Core 2600 MHz,unknown,Custom (ARM-based),"DDR4-3200 (or higher, since it's not specified)",DDR4,18823,2600 MHz,1127,unknown (since this metric is typically used for Intel CPUs),unknown (since the power consumption of this custom CPU is not specified),unknown (since this metric is typically used for x86-based CPUs),80
Intel Xeon Platinum P-8124 @ 3.00GHz,FCLGA3647,Scalable Performance Family,2933 MHz,DDR4-2933,18416,,2007,,240,76.73,18
Intel Xeon D-2183IT @ 2.20GHz,FCBGA2518,Broadwell-EX,DDR4-2400,DDR4,18385,10.42,1728,0.98,100,183.85,16
Intel Xeon E7-8880 v3 @ 2.30GHz,LGA2011-1,"Intel C606, Intel C204, Intel S1600SE",DDR4-1866,DDR4 ECC,18244,137.17,1612,12.12,150,121.63,18
Intel Xeon E5-2686 v3 @ 2.00GHz,LGA2011-v3,"C612, C606, C602J, C601",1866 MT/s ( MHz ),DDR4,18148,,1910,,120,151.24,18
Intel Xeon D-2187NT @ 2.00GHz,FCBGA2518,Broadwell DE,DDR3-1600,DDR3,18070,9.08,1425,0.72,110,164.27,16
Intel Xeon E5-2673 v4 @ 2.30GHz,FCLGA2011-3,EP8521/EP8541/EP8561/EP8581,DDR4-1866,DDR4,17533,8.99,1909,0.98,135,129.87,20
Intel Xeon E5-4669 v3 @ 2.10GHz,FCLGA2011-3,"Intel C612, Intel S2620UR",DDR4-1866MHz,DDR4,17430,3.23,1474,0.27,135,129.11,18
Intel Xeon E5-2683 v4 @ 2.10GHz,FCLGA2011-3,Broadwell-EP,1866 MHz,DDR4,17388,41.3,1633,3.88,120,144.9,16
Intel Xeon E5-2686 v4 @ 2.30GHz,FCLGA2011-3,C612,1866 MHz,DDR4,16745,,1613,,145,115.48,18
Intel Xeon E5-4667 v3 @ 2.00GHz,FCLGA2011-3,LGA2011-3,1866 MHz,DDR4,15397,2.69,1461,0.26,135,114.05,16
AMD EPYC 7301,SP3,"Xeon E5/E7, Opteron G34/G42",DDR4-3200,DDR4,14991,9.99,1363,0.91,155,96.72,16
Intel Xeon E5-2699A v4 @ 2.40GHz,FCLGA2011-3,"C612, C622, C621, C216",1866 MHz,DDR4,14917,3.02,1037,0.21,145,102.87,22
Intel Xeon E5-2675 v3 @ 1.80GHz,LGA2011-v3,"C612, C602, C601",1866 MHz,DDR4,11960,"$2,457 (according to Intel's price list)",1209,,105W,1.22W/gH,16
Intel Xeon D-1577 @ 1.30GHz,FCBGA1667,Broadwell DE,"DDR3-1333, DDR4-2133, DDR4-2400",,11645,9.9,1319,1.12,45,258.78,16
Intel Xeon E5-4669 v4 @ 2.20GHz,FCLGA2011-3,"C602, C612, C621",1866 MHz,DDR4,11523,,1366,,135,85.35,22
ARM Neoverse-N1 16 Core 0 MHz,unknown,,,,11281,,1272,,,,16
Intel Xeon D-1581 @ 1.80GHz,FCBGA1667,Intel C621,DDR4-2933,DDR4,10476,,1466,,65,161.16,16
Intel Xeon D-1587 @ 1.70GHz,FCBGA1667,Broadwell-DE,DDR3/LPDDR3,,9223,,835,,65,141.9,16
ARM X-Gene 32 Core 3300 MHz,unknown,unknown,unknown (ARM processors typically support up to DDR3-1333 or DDR4-2133),"unknown (likely DDR3 or DDR4, but specific type and speed not specified)",8684,unknown,583,unknown,"unknown (Thermal Design Power, typically measured in Watts)","unknown (Power Efficiency, typically measured in Watts per GHz or Watts per core)",32
AMD Opteron 6386 SE,Socket G34,AMD SR5650M1FVB42H,DDR3-1600,DDR3,8320,61.59,1340,9.92,140,59.43,16
AMD Opteron 6287 SE,G34,Aspeed ASMB4-I3/C33,1866 MHz,DDR3,6925,,1091,,105W,145 W/DMIPS/W,16
AMD Opteron 6282 SE,unknown,,1866 MHz,DDR3,6385,28.58,953,4.27,140,45.61,16
